callsign,lat,lon,website,logo
WSAW-TV,44.92052,-89.69123,http://www.wsaw.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/6867/tv
WTRF-TV,40.06146,-80.75203,http://www.wtrf.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/6869/tv
KWQC-TV,41.31226,-90.37957,http://www.kwqc.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/6885/tv
KEYC-TV,43.93718,-94.41163,http://www.keyc.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/68853/tv
KBCW,37.75521,-122.45275,http://www.kbcwtv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/69619/tv
WATE-TV,36.00369,-83.94269,http://www.wate.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/71082/tv
WAVY-TV,36.82098,-76.51078,http://www.wavy.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/71127/tv
WENY-TV,42.14202,-77.07747,http://www.weny.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/71508/tv
WFMJ-TV,41.08006,-80.64007,http://WWW.WFMJ.COM,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72062/tv
WHP-TV,40.34537,-76.86886,http://www.cbs21.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72313/tv
WHTM-TV,40.3162,-76.94998,http://www.abc27.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72326/tv
WKRN-TV,36.04728,-86.83028,http://www.wkrn.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73188/tv
WLEX-TV,38.03424,-84.3941,http://www.lex18.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73203/tv
WLFI-TV,40.38892,-86.61278,http://www.wlfi.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73204/tv
WNEP-TV,41.18258,-75.87047,http://www.wnep.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73318/tv
WRDW-TV,33.41014,-81.84345,http://www.wrdw.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73937/tv
WSBT-TV,41.61671,-86.21695,http://www.wsbt.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73983/tv
WSET-TV,37.31514,-79.63476,http://www.wset.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73988/tv
WRIC-TV,37.51265,-77.60138,http://www.wric.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/74416/tv
WBAY-TV,44.40971,-88.00177,http://www.wbay.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/74417/tv
KOLN,40.80306,-97.18143,http://www.1011now.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/7890/tv
KGIN,40.58724,-98.80313,http://www.1011now.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/7894/tv
WBSF,43.47414,-83.84578,http://www.theCW46.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/82627/tv
KFJX,37.22089,-94.70718,http://www.fox14tv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/83992/tv
WPVI-TV,40.04261,-75.24212,http://www.6abc.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/8616/tv
WLUC-TV,46.33633,-87.84902,http://www.UpperMichigansSource.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/21259/tv
KCBS-TV,34.22723,-118.06757,http://losangeles.cbslocal.com/station/cbs-kcal/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/9628/tv
KVCT,28.84527,-97.1261,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35846/tv
WHLT,31.40573,-89.237,http://www.whlt.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/48668/tv
WZZM,43.30974,-85.91255,http://wzzm13.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49713/tv
WFSB,41.7751,-72.8051,http://www.wfsb.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/53115/tv
WKCF,28.58711,-81.08242,http://cw18tv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/53465/tv
KSNW,37.7739,-97.51449,http://www.ksn.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72358/tv
KMYS,29.61078,-98.89281,http://CW35.TV,https://publicfiles.fcc.gov/api/manager/download/entity/logo/51518/tv
WVNY,44.52589,-72.8154,http://www.myChamplainValley.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/11259/tv
WHBF-TV,41.54698,-90.47652,http://www.OurQuadcities.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/13950/tv
KHSL-TV,39.95794,-121.7147,http://www.ActionNewsNow.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24508/tv
KHSD-TV,44.32498,-103.8377,http://www.blackhillsfox.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/34348/tv
KGBT-TV,26.14946,-97.82227,http://www.valleycentral.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/34457/tv
WJAX-TV,30.28132,-81.56987,http://www.actionnewsjax.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35576/tv
KSAZ-TV,33.33421,-112.06265,http://www.fox10phoenix.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35587/tv
KVII-TV,35.37505,-101.88269,http://www.abc7amarillo.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/40446/tv
WTAT-TV,32.94017,-79.69563,http://www.foxcharleston.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/416/tv
KPRC-TV,29.56885,-95.49967,http://www.click2houston.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/53117/tv
KJTV-TV,33.50231,-101.87267,http://www.myfoxlubbock.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/55031/tv
KAYU-TV,47.57878,-117.29715,http://www.myfoxspokane.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/58684/tv
KSWB-TV,32.69644,-116.93697,http://Www.fox5sandiego.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/58827/tv
WFTS-TV,27.84253,-82.26231,http://www.abcactionnews.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/64588/tv
KAMR-TV,35.34255,-101.82296,http://www.myhighplains.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/8523/tv
KXRM-TV,38.74524,-104.86217,http://www.coloradoconnection.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35991/tv
WFFF-TV,44.52589,-72.8154,http://www.MyChamplainValley.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/10132/tv
KSNK,39.83,-100.70196,http://ksn.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72362/tv
KAGS-LD,30.68853,-96.42663,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/10246/tv
WSJP-LD,18.40439,-67.15157,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/127507/tv
KJCT-LP,39.04859,-108.2523,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/128473/tv
KSNL-LD,38.84139,-97.66781,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/168675/tv
WNBD-LD,33.37318,-90.54037,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/181137/tv
WIFR-LD,41.88992,-89.14101,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/183744/tv
WPBI-LD,40.76559,-87.05155,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/184193/tv
WNBJ-LD,35.60313,-88.79784,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/185218/tv
KSWL-LD,30.22132,-93.31127,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/185296/tv
W29EE-D,18.27356,-66.09433,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/187427/tv
KNPG-LD,39.74999,-94.84052,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/188055/tv
KNPN-LD,39.74999,-94.84052,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/188056/tv
K17DL-D,36.74784,-93.27713,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/23969/tv
WYMT-TV,37.19398,-83.18101,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24915/tv
WFQX-TV,44.13668,-85.34255,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/25396/tv
KPLR-TV,38.57447,-90.32564,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35417/tv
KQDS-TV,46.79355,-92.11769,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35525/tv
WSAZ-TV,38.51009,-82.21931,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/36912/tv
WVAW-LD,37.98431,-78.48084,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/4687/tv
WAHU-CD,37.98431,-78.48084,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/47705/tv
KFXV-LD,26.08869,-98.06251,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49038/tv
WTVR-TV,37.51281,-77.60104,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/57832/tv
WBMA-LD,33.44122,-86.88388,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/60214/tv
WKAQ-TV,18.11329,-66.05267,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/64983/tv
KHDS-LD,38.84084,-97.66893,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65527/tv
WCVB-TV,42.31038,-71.23617,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65684/tv
WYFX-LD,41.05673,-80.64535,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/68398/tv
WFDC-DT,38.94011,-77.08137,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/69532/tv
WIRT-DT,47.38132,-92.95436,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/71336/tv
WFLI-TV,35.20951,-85.27746,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72060/tv
WSFX-TV,34.13156,-78.18777,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72871/tv
WBXX-TV,36.10924,-84.33798,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72971/tv
WSYM-TV,42.46754,-84.65165,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/74094/tv
WBFF,39.33622,-76.64941,http://www.FOXbaltimore.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/10758/tv
KSAS-TV,37.77779,-97.51088,http://www.foxkansas.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/11911/tv
KAAS-TV,39.10444,-97.38808,http://www.foxkansas.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/11912/tv
KOMO-TV,47.63176,-122.35374,http://www.komonews.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/21656/tv
WFLD,41.87892,-87.63616,http://www.fox32chicago.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/22211/tv
WEEK-TV,40.62945,-89.54804,http://www.CINewsNow.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24801/tv
WWCW,37.3207,-79.63253,http://www.virginiafirst.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24812/tv
KION-TV,36.53468,-121.62272,http://Kionrightnow.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/26249/tv
WWMB,34.36738,-79.33005,http://www.carolinalive.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/3133/tv
WDFX-TV,31.20795,-85.61355,http://www.wdfxfox34.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/32851/tv
WTVF,36.26811,-86.78778,http://www.newschannel5.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/36504/tv
KCLO-TV,44.07027,-103.25074,http://www.keloland.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/41969/tv
KNOP-TV,41.20361,-100.7332,http://www.knopnews2.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49273/tv
KTVF,64.87873,-148.05632,http://www.webcenter11.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49621/tv
KCWI-TV,41.82999,-93.61522,http://www.weareiowa.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/51502/tv
KVLY-TV,47.3422,-97.28926,http://valleynewslive.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/61961/tv
KXVA,32.27541,-99.59008,http://www.fox15abilene.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/62293/tv
WKMG-TV,28.61,-81.05951,http://www.clickorlando.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/71293/tv
WEYI-TV,43.21697,-83.72135,http://www.nbc25news.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72052/tv
WFMY-TV,35.87041,-79.84003,http://www.wfmynews2.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72064/tv
WJBK,42.46059,-83.21382,http://www.myfoxdetroit.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73123/tv
WOLF-TV,41.63203,-75.42546,http://www.myfoxnepa.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73375/tv
WTMJ-TV,43.0914,-87.90203,http://www.todaystmj4.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/74098/tv
WTOG,27.82975,-82.2662,http://cwtampa.cbslocal.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/74112/tv
KJTL,34.20148,-98.72951,http://texomashomepage.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/7675/tv
WCBS-TV,40.7131,-74.01272,http://www.cbsnewyork.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/9610/tv
WJMN-TV,46.13468,-86.94876,http://www.upmatters.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/9630/tv
WFRV-TV,44.3336,-87.98232,http://wearegreenbay.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/9635/tv
KFCT,40.6422,-104.81858,http://kdvr.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/125/tv
WMDT,38.50178,-75.73538,http://wmdt.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/16455/tv
KTTW,43.50525,-96.57227,http://kttw.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/28521/tv
KSWT,33.05504,-114.8283,http://KSWT.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/33639/tv
WLTZ,32.45792,-84.88549,http://WLTZ.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/37179/tv
WLKY,38.36907,-85.82985,http://wlky.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/53939/tv
KSNG,37.7778,-100.86933,http://ksn.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72361/tv
WMTW,43.84563,-70.76145,http://WMTW.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73288/tv
KIDK,43.72102,-111.94247,http://www.localnews8.com/kidk,https://publicfiles.fcc.gov/api/manager/download/entity/logo/56028/tv
KDVR,39.72832,-105.23768,http://kdvr.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/126/tv
WHIO-TV,39.73395,-84.248,http://whio.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/41458/tv
WPRI-TV,41.87677,-71.282,http://wpri.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/47404/tv
WDBJ,37.19513,-80.15615,http://wdbj7.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/71329/tv
WJXX,30.27357,-81.55342,http://www.firstcoastnews.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/11893/tv
KWYB,46.00659,-112.44252,http://www.abcfoxmontana.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/14674/tv
KTMF,47.01937,-114.01372,http://www.abcfoxmontana.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/14675/tv
WPBN-TV,44.74806,-85.06894,http://www.upnorthlive.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/21253/tv
WTOM-TV,45.65029,-84.34364,http://www.upnorthlive.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/21254/tv
WJZ-TV,39.33483,-76.65052,http://www.cbsbaltimore.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/25455/tv
KNVN,40.25849,-122.09111,http://www.ActionNewsNow.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/33745/tv
WLUK-TV,44.40888,-87.99205,http://www.fox11online.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/4150/tv
WETM-TV,42.10619,-76.87107,http://www.mytwintiers.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/60653/tv
WOLO-TV,34.11626,-80.76397,http://www.abccolumbia.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/60963/tv
WTLV,30.27357,-81.55342,http://www.firstcoastnews.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65046/tv
KIFI-TV,43.50102,-112.66277,http://www.localnews8.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/66258/tv
KFSM-TV,35.83036,-94.15687,http://www.5newsonline.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/66469/tv
WWJ-TV,42.44809,-83.17298,http://detroit.cbslocal.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72123/tv
WNAC-TV,41.87677,-71.282,http://www.foxprovidence.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73311/tv
KWKT-TV,31.31489,-97.32695,http://www.centexproud.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/12522/tv
KARK-TV,34.79926,-92.49988,http://arkansasmatters.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/33440/tv
KFDX-TV,33.88982,-98.55867,http://texomashomepage.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65370/tv
KSNF,37.07589,-94.55467,http://fourstateshomepage.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/67766/tv
WAGA-TV,33.7976,-84.33381,http://www.myfoxatlanta.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/70689/tv
KMGH-TV,39.73082,-105.23221,http://www.thedenverchannel.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/40875/tv
WOHL-CD,40.74755,-84.13189,http://www.hometownstations.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/68549/tv
WOAI-TV,29.26996,-98.26557,http://www.news4sanantonio.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/69618/tv
WHBQ-TV,35.17481,-89.84536,http://www.myfoxmemphis.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/12521/tv
KJUD,58.30106,-134.44233,http://www.youralaskalink.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/13814/tv
WPDE-TV,34.36738,-79.33005,http://www.carolinalive.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/17012/tv
KLAS-TV,35.94553,-115.04332,http://www.lasvegasnow.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35042/tv
KWBA-TV,31.75898,-110.80147,http://www.thecwtucson.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35095/tv
KVIH-TV,34.19286,-103.2794,http://www.abc7amarillo.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/40450/tv
KBTV-TV,30.15577,-93.98629,http://www.fox4beaumont.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/61214/tv
WDKY-TV,37.88091,-84.32104,http://www.foxlexington.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/64017/tv
KSTW,47.61538,-122.30929,http://cwseattle.cbslocal.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/23428/tv
KTAL-TV,32.90319,-94.00574,http://arklatexhomepage.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35648/tv
WBBM-TV,41.87892,-87.63561,http://chicago.cbslocal.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/9617/tv
WOVA-LD,39.35007,-81.5654,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/125125/tv
WMNS-LD,18.35134,-64.9757,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/125735/tv
WHPM-LD,31.3074,-89.41312,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/127263/tv
KMOL-LD,28.84527,-97.1261,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/128455/tv
WVGN-LD,18.3569,-64.97015,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/130029/tv
WIYE-LD,39.35007,-81.5654,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/130392/tv
WEEV-LD,37.8881,-87.54362,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/188022/tv
WRGX-LD,30.91991,-85.7416,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/191163/tv
KXTS-LD,28.84527,-97.1261,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/31516/tv
KWYB-LD,45.67327,-110.868,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/38576/tv
WTVQ-DT,38.03424,-84.3941,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/51597/tv
KQFX-LD,38.77475,-92.5563,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/56176/tv
WHIZ-TV,39.9284,-81.98514,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/61216/tv
KGBD-LD,38.40612,-98.7223,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65534/tv
WSHM-LD,42.1199,-72.41036,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/67980/tv
KAVU-TV,28.84527,-97.1261,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73101/tv
KSL-TV,40.65911,-112.20272,http://www.ksl.com/index.php?nid=10,https://publicfiles.fcc.gov/api/manager/download/entity/logo/6359/tv
KRCW-TV,45.51595,-122.73399,http://www.nw32.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/10192/tv
KCEN-TV,31.27379,-97.22111,http://www.kcentv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/10245/tv
KCAU-TV,42.58638,-96.23252,http://www.kcautv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/11265/tv
WGMB-TV,30.32658,-91.27678,http://www.fox44.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/12520/tv
KMSS-TV,32.66626,-93.93324,http://www.kmsstv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/12525/tv
WABC-TV,40.7131,-74.01272,http://www.7online.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/1328/tv
WWTI,43.87979,-75.71936,http://www.informnny.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/16747/tv
WNYF-CD,43.95423,-75.72881,http://www.wwnytv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/168478/tv
WCTI-TV,35.10433,-77.33635,http://www.wcti12.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/18334/tv
KSNB-TV,40.75195,-97.45144,http://www.nbcneb.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/21161/tv
WICU-TV,42.06394,-80.00561,http://www.wicu12.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24970/tv
WZDX,34.73676,-86.53305,http://rocketcitynow.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/28119/tv
WCWJ,30.27691,-81.56287,http://www.news4jax.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/29712/tv
WHAS-TV,38.35646,-85.84774,http://www.whas11.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/32327/tv
KEYE-TV,30.32223,-97.80379,http://www.keyetv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/33691/tv
KING-TV,47.63176,-122.35096,http://www.king5.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/34847/tv
KFXA,42.09027,-92.08713,http://www.fox28iowa.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35336/tv
KULR-TV,45.75967,-108.45458,http://www.kulr8.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/35724/tv
WOOD-TV,42.68745,-85.50974,http://www.woodtv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/36838/tv
WISH-TV,39.89032,-86.20555,http://www.wishtv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/39269/tv
WRLH-TV,37.51265,-77.6011,http://foxrichmond.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/412/tv
KAII-TV,20.65709,-156.35996,http://www.KHON2.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/4145/tv
WMAZ-TV,32.75292,-83.55879,http://www.13wmaz.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/46991/tv
KXAS-TV,32.58541,-96.96862,http://www.nbcdfw.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49330/tv
WXXV-TV,30.74686,-89.05838,http://www.wxxv25.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/53517/tv
KXMD-TV,48.14169,-103.89326,http://www.kxnet.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/55683/tv
KXMB-TV,46.58972,-100.80596,http://www.kxnet.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/55686/tv
KDNL-TV,38.58061,-90.32928,http://abcstlouis.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/56524/tv
KABB,29.29135,-98.27029,http://foxsanantonio.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/56528/tv
KOVR,38.23992,-121.5019,http://cbssacramento.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/56550/tv
WAAY-TV,34.73676,-86.53305,http://www.waaytv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/57292/tv
KFVS-TV,37.42949,-89.50398,http://www.kfvs12.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/592/tv
KHOG-TV,36.01591,-94.08354,http://www.4029tv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/60354/tv
KMIZ,38.77475,-92.55638,http://www.abc17news.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/63164/tv
WBBJ-TV,35.63785,-88.69256,http://www.wbbjtv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65204/tv
WBAL-TV,39.33483,-76.65052,http://www.wbaltv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65696/tv
WTWC-TV,30.68075,-83.97239,http://www.wtwc40.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/66908/tv
WTVT,27.81919,-82.24037,http://myfoxtampabay.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/68569/tv
WWNY-TV,43.95423,-75.72881,http://www.wwnytv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/68851/tv
WCHS-TV,38.40787,-81.90347,http://www.wchstv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/71280/tv
WEAR-TV,30.61269,-87.64526,http://www.weartv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/71363/tv
WCWF,44.3336,-87.98232,http://www.cw14online.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73042/tv
WJAC-TV,40.37146,-78.98197,http://www.wjactv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73120/tv
WHAM-TV,43.13534,-77.58389,http://www.13wham.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73371/tv
WSWB,41.43591,-75.72853,http://www.thecwwswb.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73374/tv
KPOB-TV,36.80117,-90.45178,http://www.wsiltv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73998/tv
WSOC-TV,35.26181,-80.72674,http://www.wsoctv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/74070/tv
KLSR-TV,44.00096,-123.1137,http://oregonsfox.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/8322/tv
WNBW-DT,29.62997,-82.57345,http://www.mycbs4.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/83965/tv
