callsign,lat,lon,website,logo
KGWC-TV,42.74052,-106.36003,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/63177/tv
KXDF-CD,64.92179,-147.71771,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/64596/tv
KAEF-TV,40.72735,-123.97255,,https://publicfiles.fcc.gov/api/manager/download/entity/logo/8263/tv
KVCW,36.00775,-115.00749,http://www.thecwlasvegas.tv/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/10195/tv
WFXR,37.19661,-80.15407,http://www.virginiafirst.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24813/tv
KWES-TV,31.98817,-102.87849,http://www.newswest9.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/42007/tv
KWAB-TV,32.28206,-101.49318,http://www.newswest9.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/42008/tv
KGNS-TV,27.67279,-99.66449,http://www.kgns.tv,https://publicfiles.fcc.gov/api/manager/download/entity/logo/10061/tv
WKRC-TV,39.11645,-84.50189,http://Local12.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/11289/tv
WBUI,39.94893,-88.83674,http://www.cw23tv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/16363/tv
K09YI-D,44.24304,-105.53917,http://kotatv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/167560/tv
WABI-TV,44.70332,-69.07915,http://www.wabi.tv,https://publicfiles.fcc.gov/api/manager/download/entity/logo/17005/tv
KSGW-TV,44.62219,-107.11646,http://kotatv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/17680/tv
WSVF-CD,38.3929,-78.77002,http://www.whsv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/190915/tv
WMC-TV,35.16926,-89.8862,http://www.wmctv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/19184/tv
KBSI,37.40644,-89.56232,http://www.kbsi23.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/19593/tv
WTTG,38.95622,-77.08276,http://www.fox5dc.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/22207/tv
WKYT-TV,38.0398,-84.40271,http://www.wkyt.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24914/tv
WBRL-CD,30.32631,-91.27678,http://brproud.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/24976/tv
WGGB-TV,42.24176,-72.6487,http://www.wggb.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/25682/tv
KOTA-TV,44.06665,-103.25074,http://kotatv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/34347/tv
KHQ-TV,47.58101,-117.29743,http://www.khq.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/34537/tv
KTVB,43.75433,-116.09984,http://www.ktvb.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/34858/tv
WXIX-TV,39.122,-84.54772,http://www.fox19.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/39738/tv
WTXL-TV,30.66853,-83.96933,http://www.wtxl.tv,https://publicfiles.fcc.gov/api/manager/download/entity/logo/41065/tv
WNEM-TV,43.47058,-83.8433,http://www.wnem.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/41221/tv
KPHO-TV,33.33394,-112.06181,http://cbs5az.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/41223/tv
WFXV,43.14535,-75.176,http://cnyhomepage.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/43424/tv
WYDC,42.29229,-77.67388,http://www.wydctv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/43451/tv
WHNT-TV,34.7387,-86.53221,http://www.whnt.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/48693/tv
KTVA,61.19195,-149.90251,http://www.ktva.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49632/tv
KSAT-TV,29.26996,-98.2589,http://www.ksat.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/53118/tv
WSLS-TV,37.20097,-80.1481,http://www.wsls.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/57840/tv
KCVU,39.96349,-121.71165,http://kcvufox20.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/58605/tv
WREG-TV,35.1812,-89.83231,http://www.wreg.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/66174/tv
KWCH-DT,38.06046,-97.7638,http://www.kwch.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/66413/tv
WEVV-TV,37.8881,-87.54362,http://www.wevv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72041/tv
WQAD-TV,41.3124,-90.37963,http://www.wqad.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73319/tv
WCOV-TV,31.9746,-86.16218,http://www.wcov.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73642/tv
WTEN,42.62536,-74.01013,http://www.news10.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/74422/tv
