WXLV-TV,35.86764,-79.82364,http://www.abc45.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/414/tv,h4.media-heading
WJXX,30.27357,-81.55342,http://www.firstcoastnews.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/11893/tv,a[class*=headline]
WKBW-TV,42.63751,-78.61972,http://www.wkbw.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/54176/tv,h3.ListItem-title
WNEP-TV,41.18258,-75.87047,http://www.wnep.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73318/tv,h4[class*=title]
WZVN-TV,26.82323,-81.76469,http://abc-7.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/19183/tv,REACT
WRIC-TV,37.51265,-77.60138,http://www.wric.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/74416/tv,h4[class*=headline]
WGNO,29.94993,-89.95785,http://www.wgno.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72119/tv,*.entry-title
WEAR-TV,30.61269,-87.64526,http://www.weartv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/71363/tv,h4
KOAT-TV,35.21477,-106.45086,http://www.koat.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/53928/tv,div.feed-item-title
WATE-TV,36.00369,-83.94269,http://www.wate.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/71082/tv,h4.headline
WJRT-TV,43.2303,-84.05886,http://www.abc12.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/21735/tv,"*:is(h4,h3) > a"
KRGV-TV,26.10099,-97.83958,http://www.krgv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/43328/tv,div.title
WSET-TV,37.31514,-79.63476,http://www.wset.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/73988/tv,div[class*=headline]
